isbn13,Title,Authors,Average Rating,Language Code,Num Pages,Ratings Count,Text Reviews Count
8987059752,The World's First Love: Mary  Mother of God,['Fulton J. Sheen'],4.58,eng,276,571,55
20049130001,The Illuminati,['Larry Burkett'],3.71,eng,352,59,8
23755004321,The Servant Leader,['Kenneth H. Blanchard'],4.07,eng,128,256,24
34406054602,What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905,"['Time', 'Life Books']",3.64,eng,168,42,4
49086007763,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,['W. John Campbell'],2.33,eng,80,3,0
73999140774,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,"['Pedro Calderón de la Barca', 'Miguel de Cervantes Saavedra', 'Lope de Vega', 'Tirso de Molina', 'Roy Campbell', 'Eric Bentley']",3.81,eng,298,61,4
73999254907,William Goldman: Four Screenplays,['William Goldman'],4.27,eng,504,16,1
73999768442,The Season: A Candid Look at Broadway,['William Goldman'],4.1,eng,448,275,33
73999960822,The Beatles Complete - Updated Edition,['The Beatles'],4.45,eng,303,62,0
76092025986,Working Effectively with Legacy Code,['Michael C. Feathers'],4.12,eng,464,3224,179
76783609419,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),['L.M. Montgomery'],4.43,eng,2088,95486,1449
635517047547,Plants Bite Back! (DK Readers),['Richard Platt'],3.84,eng,48,20,5
639785508199,Advanced Statistics Demystified,['Larry J. Stephens'],4.0,eng,324,9,0
645241001173,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,['Mark Nepo'],4.32,eng,438,4799,272
702727014581,Prétear  Vol. 3 (Prétear  #3),"['Junichi Sato', 'Kaori Naruse']",3.95,eng,172,317,12
710430023622,The Mystery in the Rocky Mountains,['Carole Marsh'],3.75,eng,145,33,6
710430023639,The Mystery on the Mighty Mississippi,['Carole Marsh'],3.5,eng,142,26,1
752063326664,Programming in C,['Stephen G. Kochan'],3.95,eng,576,212,17
752063326725,PHP and MySQL Web Development (Developer's Library),"['Luke Welling', 'Laura Thomson']",3.96,eng,1008,574,31
752073003227,Manhunt Official Strategy Guide,['Tim Bogenn'],4.0,eng,175,4,0
